"","site_code","location_name","sample_collector","lat","long","gap_num","gap_size","gaps","depth","analyte_avg","analyte_tot","soil_lyrs_n","layer_tops","calc_notes"
"96","RCCZO","Reynolds Creek CZO","Ryan Will",43.11047207,-116.7328998,0,0,NA,30,1726.66666666667,6190,4,"0,5,10,20,30,40,50,60,70,80",""
"97","RCCZO","Reynolds Creek CZO","Ryan Will",43.11048113,-116.7329244,0,0,NA,30,1026.66666666667,4060,4,"0,5,10,20,30,40,50,60,70,80",""
"98","RCCZO","Reynolds Creek CZO","Ryan Will",43.11048746,-116.7329342,0,0,NA,30,1195,4730,4,"0,5,10,20,30,40,50,60,70,80",""
"99","RCCZO","Reynolds Creek CZO","Ryan Will",43.11051771,-116.7331639,0,0,NA,30,1965,7700,4,"0,5,10,20,30,40,50,60,70,80",""
"100","RCCZO","Reynolds Creek CZO","Ryan Will",43.11052667,-116.7331454,0,0,NA,30,2681.66666666667,11060,4,"0,5,10,20,30,40,50,60,70,80",""
"101","RCCZO","Reynolds Creek CZO","Ryan Will",43.1106586,-116.7333415,0,0,NA,30,1713.33333333333,6560,4,"0,5,10,20,30,40,50,60,70,80",""
"102","RCCZO","Reynolds Creek CZO","Ryan Will",43.11066219,-116.7333353,0,0,NA,30,1771.66666666667,6650,4,"0,5,10,20,30,40,50,60,70,80",""
"103","RCCZO","Reynolds Creek CZO","Ryan Will",43.11068821,-116.73291,0,0,NA,30,1765,6860,4,"0,5,10,20,30,40,50,60,70,80",""
"104","RCCZO","Reynolds Creek CZO","Ryan Will",43.11069985,-116.7328804,0,0,NA,30,2565,9050,4,"0,5,10,20,30,40,50,60,70,80",""
"105","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.11716535,-116.7257274,0,0,NA,30,2193.33333333333,7660,4,"0,5,10,20,30,40,50,60,70,80",""
"106","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.11980227,-116.722923,0,0,NA,30,1558.33333333333,5560,4,"0,5,10,20,30,40,50,60,70,80",""
"107","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.12035214,-116.8005433,0,0,NA,30,1045,4010,4,"0,5,10,20,30,40,50,60,70,80",""
"108","RCCZO","Reynolds Creek CZO","Mark S. Seyfried",43.12158715,-116.787974,0,0,NA,30,3391.875,5055.47169811321,2,"0,5,10,20,30,40,50,60,70,80","trim: cut to 30 cm"
"109","RCCZO","Reynolds Creek CZO","Mark S. Seyfried",43.12187239,-116.785596,0,0,NA,30,4796.18181818182,10223.3333333333,3,"0,5,10,20,30,40,50,60,70,80","trim: cut to 30 cm"
"110","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.12197197,-116.782117,0,0,NA,30,2916.66666666667,8750,3,"0,5,10,20,30,40,50,60,70,80",""
"111","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.1220937,-116.7801683,0,0,NA,30,1640,4920,3,"0,5,10,20,30,40,50,60,70,80",""
"112","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.12222251,-116.7817345,0,0,NA,30,5946.66666666667,8600,2,"0,5,10,20,30,40,50,60,70,80","trim: cut to 30 cm"
"113","RCCZO","Reynolds Creek CZO","Mark S. Seyfried",43.12231214,-116.779423,0,0,NA,30,8456.66666666667,8727.5,2,"0,5,10,20,30,40,50,60,70,80","trim: cut to 30 cm"
"114","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.12258624,-116.7849555,0,0,NA,30,13041.3888888889,7558.70967741936,2,"0,5,10,20,30,40,50,60,70,80","trim: cut to 30 cm"
"115","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.12283706,-116.7981045,0,0,NA,30,3035,10970,4,"0,5,10,20,30,40,50,60,70,80",""
"116","RCCZO","Reynolds Creek CZO","Mark S. Seyfried",43.12292115,-116.782785,0,0,NA,30,3310.90909090909,6250,2,"0,5,10,20,30,40,50,60,70,80","trim: cut to 30 cm"
"117","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.12298817,-116.776913,0,0,NA,30,976.666666666667,3900,4,"0,5,10,20,30,40,50,60,70,80",""
"118","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.12303246,-116.7927984,0,0,NA,30,9036.66666666667,9827.14285714286,2,"0,5,10,20,30,40,50,60,70,80","trim: cut to 30 cm"
"119","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.12303738,-116.7856704,0,0,NA,30,4775,5821.42857142857,2,"0,5,10,20,30,40,50,60,70,80","trim: cut to 30 cm"
"120","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.12317978,-116.7878097,0,0,NA,30,2034.1935483871,3768.46153846154,2,"0,5,10,20,30,40,50,60,70,80","trim: cut to 30 cm"
"121","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.12349175,-116.7874879,0,0,NA,30,8913.33333333333,10236.4864864865,2,"0,5,10,20,30,40,50,60,70,80","trim: cut to 30 cm"
"122","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.12363069,-116.7967467,0,0,NA,30,4908.97435897436,8658.69565217391,2,"0,5,10,20,30,40,50,60,70,80","trim: cut to 30 cm"
"123","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.12378073,-116.7876965,0,0,NA,30,3157.14285714286,4481.66666666667,2,"0,5,10,20,30,40,50,60,70,80","trim: cut to 30 cm"
"124","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.12385697,-116.7800245,0,0,NA,30,2342,3462.14285714286,2,"0,5,10,20,30,40,50,60,70,80","trim: cut to 30 cm"
"125","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.12387104,-116.7826147,0,0,NA,30,2490,9550,4,"0,5,10,20,30,40,50,60,70,80",""
"126","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.12416094,-116.7826214,0,0,NA,30,798.333333333333,3030,4,"0,5,10,20,30,40,50,60,70,80",""
"127","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.12421955,-116.7895852,0,0,NA,30,2126.66666666667,3017.14285714286,2,"0,5,10,20,30,40,50,60,70,80","trim: cut to 30 cm"
"128","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.1242439,-116.7916884,0,0,NA,30,3714.85294117647,3431.09090909091,2,"0,5,10,20,30,40,50,60,70,80","trim: cut to 30 cm"
"129","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.12449119,-116.794308,0,0,NA,30,3323.33333333333,12500,4,"0,5,10,20,30,40,50,60,70,80",""
"130","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.12453364,-116.7860349,0,0,NA,30,1155,2310,2,"0,5,10,20,30,40,50,60,70,80",""
"131","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.12565165,-116.7811645,0,0,NA,30,1470.18181818182,1793.125,2,"0,5,10,20,30,40,50,60,70,80","trim: cut to 30 cm"
"132","RCCZO","Reynolds Creek CZO","Mark S. Seyfried",43.12568301,-116.78562,0,0,NA,30,782,2033.33333333333,3,"0,5,10,20,30,40,50,60,70,80","trim: cut to 30 cm"
"133","RCCZO","Reynolds Creek CZO","Mark S. Seyfried",43.125801,-116.782742,0,0,NA,30,2248.33333333333,4330,2,"0,5,10,20,30,40,50,60,70,80",""
"134","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.12611188,-116.7890521,0,0,NA,30,1615,2805,2,"0,5,10,20,30,40,50,60,70,80","trim: cut to 30 cm"
"135","RCCZO","Reynolds Creek CZO","Mark S. Seyfried",43.12633701,-116.788065,0,0,NA,30,1124.54545454545,2137.14285714286,2,"0,5,10,20,30,40,50,60,70,80","trim: cut to 30 cm"
